import_id,import_id_reference,name,description,organisation,url,approved,visible_from,visible_to,visible,needs_referral,min_age,max_age,notes,service_taxonomies,contact_name,contact_title,contact_visible,contact_email,contact_phone,location_name,location_latitude,location_longitude,location_address_1,location_city,location_postcode,location_visible,mask_exact_address,preferred_for_post,location_accessibilities,free,cost_option,cost_amount,cost_type,temporarily_closed,schedules_opens_at,schedules_closes_at,scheduled_weekday,links_label,links_url,labels,suitabilities,is_local_offer,send_needs_support,support_description,recent_send_report,outcomes,recent_send_training,parental_involvement,information_sharing,environment_accessibility,how_to_start,future_plans
1,,CSV creation service,"We create blank CSV's showing the structure of the data to be imported.

The description allows for multiple lines. 

NB this field will be shortened to 30 words in some places",TPX Impact,http://www.tpximpact.com,TRUE,2022-05-17,2023-05-17,FALSE,TRUE,0,100,if you wanted to import existing notes on the service this is the place to do so - we can add extra fields for multiple notes if required,semicolon delimited values; please,public contact name,public contacts role,TRUE,email@email.com,92939293,Venue or building name,51.50101,-0.141563,Street address eg Buckingham Palace,Town or area eg london,SW1A 1AA,TRUE,FALSE,FALSE,list; of accessible features (see documentation for a default set),FALSE,Who is this fee for?,1,per half day,,hh:mm:ss,hh:mm:ss,monday,Facebook,http://www.google.com,internal label,comma; delimited; list,TRUE,Autism;Hearing impairment;Visual impairment;Mobility;Cognitive,dfsdfs,,,,,,,,
2,1,,,,,,,,,,,,I am an additional note for the service with import_id 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,,private contact for service_id 1,privat contacts job role,FALSE,email2@email.com,234234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,,,,,,,,,,,,,,,,,,,Second Venue or building name,51.50101,-0.141563,Street address eg Buckingham Palace,Town or area eg london,SW1A 1AA,TRUE,FALSE,FALSE,Accessible toilet facilities; Hoist,,,,,,,,,,,,,,,,,,,,,,,
5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OAP,0,per session,,,,,,,,,,,,,,,,,,,
6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hh:mm:ss,hh:mm:ss,tuesday,,,,,,,,,,,,,,,
7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Twitter,http://www.google.com,,,,,,,,,,,,,
8,,Second example service,description,Not TPX Impact,http://www.google.com,TRUE,,,TRUE,FALSE,,,,hello; new; data,contact 1,chief biscuit sampler,TRUE,email@emails.com,34234,McVities Head Office,51.50101,-0.141563,McVities Head Office,Biscuitville,BV12 3MV,TRUE,FALSE,FALSE,Accessible toilet facilities;Hearing loop;Car parking;Changing facilities;British sign language (bsl);Disabled car parking space;Hoist;Baby changing facilities;Parking nearby;Bus stop nearby;Building has lift;Wheelchair accessible entrance;Partial wheelchair access,TRUE,,,,,,,,,,,Autism;Learning difficulties;Mental health/acquired brain injury;Visual and / or hearing impediment;Physical disabilities;Older people;Dementia,FALSE,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
